"Timestamp","1. Gender 性別","2. Age 年齡","3. Are you a local or non-local student? 您是本地生還是非本地生？","4. Nationality 國籍","5. University 大學","6. Are you an undergraduate or postgraduate student? 您是本科生還是研究生？","7. Year of Study 修學年","1. How often do you have a drink containing alcohol? 您飲用含有酒精飲料的頻率為？","2. When drinking, how many ""standard drinks"" containing alcohol do you typically consume (in one occasion)? 您一次通常飲用多少杯含酒精的「標準杯」？","3. How often do you have six or more ""standard drinks"" on one occasion? (Use previous question as reference for servings) 您一次飲用「標準杯」六杯以上的頻率為？（請以上一題的說明作為參考）","4. What kind of alcoholic beverage do you typically consume? 您通常飲用何種酒精飲料？","5. On what occasion do you usually consume alcohol beverage? 您通常在什麼場合飲用酒精飲料？","6. Based on the text below, what is your favorite cuisine? (Please read the description) 根據下列選項，您最喜歡的食物是？（請閱讀說明）","7. On average, how often do you drink alcoholic beverages before examinations or other important academic events? 平均來說，您在考試或重要學術活動之前飲用酒精飲料的頻率為？","1. Cumulative GPA (out of 4.00) 累計成績平均積點","2. Have you joined any student clubs / organisations / student union throughout your university years? 您在大學期間有無參加任何學生社團、組織或學生會？","3. Have you served as an Executive Committee for a student club / organisation / student union throughout your university years? 您在大學期間有無擔任過學生社團、組織或學生會的執行委員？","4. If any, how many academic achievements have you attained throughout your university years? 您在大學期間總共取得過多少個學術成就？","5. If any, how many professional examinations have you passed throughout your university years? 您在大學期間通過多少個專業考試？",""
"2021/07/31 8:24:22 PM GMT+8","Male 男性","21","Non-local student 非本地生","","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Monthly or less 少於一個月","5","Less than once per month 少於一個月","Soju 燒酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Chinese 中式","Never (0%) 從來不會","3.7","Yes 有","Yes 有","10","0","Malaysian 馬來西亞"
"2021/07/31 10:07:11 PM GMT+8","Male 男性","20","Non-local student 非本地生","","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Monthly or less 少於每月","7","Less than once per month 少於每月","Soju 燒酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.67","Yes 有","Yes 有","6","0","Philippine 菲律賓"
"2021/07/31 10:15:24 PM GMT+8","Male 男性","21","Non-local student 非本地生","","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","3","Less than once per month 少於每月","Soju 燒酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.33","Yes 有","Yes 有","5","0","Indonesian 印尼"
"2021/07/31 11:35:53 PM GMT+8","Female 女性","22","Non-local student 非本地生","","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Monthly or less 少於每月","1","Never 從來不會","Soju 燒酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Japanese 日式","Never (0%) 從來不會","3.41","Yes 有","Yes 有","0","0","Indonesian 印尼"
"2021/08/01 11:33:02 AM GMT+8","Male 男性","21","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","2","Less than once per month 少於每月","Soju 燒酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.55","Yes 有","No 沒有","4","0",""
"2021/08/01 11:36:05 AM GMT+8","Female 女性","21","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","3","Less than once per month 少於每月","Cocktails","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.5","Yes 有","No 沒有","6","0",""
"2021/08/01 1:10:17 PM GMT+8","Male 男性","20","Non-local student 非本地生","Taiwan","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-3 times a week 每週二至三次","3","Weekly 每週","Whiskey 威士忌","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Italian 義式","Occasionally (20%) 偶爾","3.6","Yes 有","No 沒有","2","0",""
"2021/08/01 1:12:37 PM GMT+8","Female 女性","20","Non-local student 非本地生","Taiwan","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","1.5","Never 從來不會","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Italian 義式","Never (0%) 從來不會","3.54","Yes 有","No 沒有","2","0",""
"2021/08/01 5:42:09 PM GMT+8","Male 男性","20","Non-local student 非本地生","Taiwan","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-3 times a week 每週二至三次","3","Weekly 每週","Whiskey 威士忌","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Italian 義式","Occasionally (20%) 偶爾","3.6","Yes 有","No 沒有","2","0",""
"2021/08/01 5:42:27 PM GMT+8","Male 男性","20","Non-local student 非本地生","Taiwan","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-3 times a week 每週二至三次","3","Weekly 每週","Whiskey 威士忌","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Italian 義式","Occasionally (20%) 偶爾","3.6","Yes 有","No 沒有","2","0",""
